,surface_reelle_bati,code_commune,type_local,valeur_fonciere
1062755,125.0,75105,Appartement,1423100.0
985056,62.0,94028,Appartement,176600.0
972718,30.0,93029,Appartement,240000.0
993099,18.0,94081,Appartement,39000.0
979821,87.0,93077,Appartement,230000.0
1046982,54.0,75111,Appartement,460000.0
1030633,20.0,75110,Appartement,480000.0
1042454,33.0,75118,Appartement,330000.0
978311,72.0,93055,Appartement,392060.0
1059184,18.0,75114,Appartement,145000.0
1043068,45.0,75109,Appartement,605500.0
1033790,40.0,75118,Appartement,192308.0
981923,39.0,93057,Appartement,131000.0
959684,44.0,92040,Appartement,340000.0
959489,150.0,92048,Maison,1140000.0
948583,69.0,92063,Appartement,505000.0
997002,50.0,94081,Maison,300000.0
950022,82.0,92078,Maison,750000.0
945926,17.0,92050,Appartement,160000.0
1045285,126.0,75109,Appartement,1813120.0
1056948,40.0,75113,Appartement,445000.0
982983,58.0,93053,Appartement,245000.0
973033,80.0,93066,Appartement,889400.0
951423,75.0,92025,Maison,676000.0
1040672,27.0,75110,Appartement,225000.0
987157,28.0,94068,Appartement,64000.0
1030326,18.0,75110,Appartement,189600.0
990824,57.0,94038,Appartement,216000.0
1057961,35.0,75115,Appartement,350000.0
1051449,168.0,75116,Appartement,2098000.0
1029078,64.0,75108,Appartement,1250000.0
999259,58.0,94058,Maison,885000.0
956108,40.0,92026,Appartement,346000.0
950472,79.0,92026,Appartement,370000.0
986005,66.0,94021,Appartement,225000.0
945869,49.0,92050,Appartement,260000.0
1037668,40.0,75110,Appartement,195000.0
1062481,21.0,75111,Appartement,225000.0
990663,23.0,94046,Appartement,140000.0
996929,77.0,94043,Appartement,452000.0
958129,59.0,92012,Appartement,545000.0
958440,22.0,92075,Appartement,100000.0
1035921,80.0,75109,Appartement,1077300.0
1045102,27.0,75109,Appartement,400000.0
992876,68.0,94067,Appartement,569950.0
1056389,19.0,75113,Appartement,172500.0
1051925,98.0,75116,Appartement,1346000.0
1041138,65.0,75117,Appartement,590000.0
997567,13.0,94052,Appartement,740000.0
1044572,62.0,75119,Appartement,700400.0
1049445,120.0,75107,Appartement,1320000.0
1064608,12.0,75112,Appartement,118650.0
1063603,27.0,75111,Appartement,301450.0
985308,14.0,94018,Appartement,130000.0
1043682,25.0,75104,Appartement,533050.0
1051352,65.0,75115,Appartement,632000.0
998426,127.0,94033,Maison,605000.0
1038439,83.0,75120,Appartement,905000.0
955694,53.0,92024,Appartement,420100.0
996547,70.0,94058,Maison,430000.0
958535,17.0,92032,Appartement,117000.0
1059915,46.0,75114,Appartement,583000.0
948663,63.0,92063,Appartement,312000.0
961264,80.0,92060,Maison,750000.0
947577,75.0,92026,Appartement,545000.0
981249,52.0,93059,Maison,304100.0
1037944,71.0,75119,Appartement,585000.0
994178,116.0,94019,Maison,306725.0
965531,41.0,92040,Appartement,424500.0
1061962,56.0,75115,Appartement,575000.0
1061318,58.0,75115,Appartement,517700.0
1052481,36.0,75114,Appartement,314000.0
1064346,28.0,75115,Appartement,275000.0
955095,67.0,92025,Appartement,257000.0
1045963,92.0,75118,Appartement,1080000.0
1058366,41.0,75116,Appartement,360000.0
1048345,113.0,75112,Appartement,1500000.0
1038380,45.0,75109,Appartement,590000.0
975290,35.0,93057,Appartement,132000.0
1035429,36.0,75118,Appartement,384000.0
979465,85.0,93051,Appartement,150000.0
962719,68.0,92007,Appartement,410000.0
990880,194.0,94059,Maison,795000.0
975712,71.0,93031,Appartement,86340.0
1037140,18.0,75117,Appartement,135000.0
966987,78.0,92022,Appartement,350000.0
987767,50.0,94080,Appartement,370000.0
997845,113.0,94067,Appartement,1598000.0
955604,28.0,92063,Maison,150000.0
1051470,100.0,75115,Appartement,770000.0
945804,70.0,92062,Appartement,485000.0
996945,47.0,94077,Appartement,158000.0
1058774,111.0,75116,Appartement,1320388.0
994507,55.0,94002,Appartement,248000.0
1063780,16.0,75115,Appartement,213440.0
965760,54.0,92022,Appartement,301000.0
1048988,38.0,75115,Appartement,399900.0
1063152,13.0,75111,Appartement,164390.0
1055391,18.0,75113,Appartement,125000.0
990626,38.0,94052,Appartement,185000.0
971516,92.0,93005,Maison,265000.0
1060714,15.0,75111,Appartement,345120.0
976340,29.0,93066,Appartement,122000.0
954410,33.0,92036,Appartement,50000.0
997107,40.0,94068,Appartement,300000.0
1041745,29.0,75118,Appartement,290000.0
1035254,16.0,75117,Appartement,140000.0
1047816,72.0,75116,Appartement,873000.0
990715,26.0,94052,Appartement,189000.0
956617,68.0,92049,Appartement,565000.0
947304,119.0,92051,Appartement,1750000.0
964825,67.0,92049,Appartement,569900.0
988546,72.0,94068,Appartement,470000.0
1043048,47.0,75118,Appartement,475000.0
1036328,25.0,75117,Appartement,698050.0
1051429,4.0,75106,Appartement,57000.0
972452,74.0,93066,Appartement,226700.0
1056093,100.0,75111,Appartement,760000.0
1062028,12.0,75111,Appartement,280000.0
990899,21.0,94041,Appartement,97000.0
1038636,42.0,75108,Appartement,728300.0
1063991,52.0,75115,Appartement,280000.0
999691,89.0,94058,Appartement,440000.0
1036312,21.0,75117,Appartement,191000.0
1001145,78.0,94028,Appartement,266000.0
1056354,110.0,75116,Appartement,1224080.0
952048,55.0,92050,Maison,300000.0
979769,54.0,93007,Appartement,239000.0
1063126,54.0,75106,Appartement,1211000.0
946356,45.0,92025,Appartement,220000.0
963295,102.0,92033,Appartement,927000.0
987089,72.0,94071,Appartement,280000.0
1064598,67.0,75114,Appartement,718000.0
958172,70.0,92023,Maison,100000.0
967499,23.0,93029,Appartement,126000.0
959114,56.0,92048,Appartement,185000.0
1046175,35.0,75118,Appartement,280700.0
1064685,38.0,75106,Appartement,485714.0
971301,44.0,93057,Appartement,150000.0
963434,64.0,92020,Appartement,391500.0
